Name (English);Name (Chinese);Region of Focus;Language;Entity owner (English);Entity owner (Chinese);Parent entity (English);Parent entity (Chinese);X (Twitter) handle;X (Twitter) URL;X (Twitter) Follower #;Facebook page;Facebook URL;Facebook Follower #;Instragram page;Instagram URL;Instagram Follower #;Threads account;Threads URL;Threads Follower #;YouTube account;YouTube URL;YouTube Subscriber #;TikTok account;TikTok URL;TikTok Subscriber #;date_hour;tweet_text;twits_clean;sentiment;Persons;GPE;NORP;proxy_is_foreing_interf_canada;hour;day_of_week_name;day_of_week_num
Chinese Embassy in Angola;;Angola;Portuguese;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;ChinaEmbAngola;https://twitter.com/ChinaEmbAngola;4160.0;;;;;;;;;;;;;;;;Tue Apr 21 00:34:19 PDT 2009;@Mickdo100 This my 3rd London. On both previous runs I got sun burned. Looks lie this time won't be any different.. ;@ mickdo100 3rd london . previous runs got sun burned . looks lie time wo n't different ..;0;;london;;Yes;00;Tuesday;2
Chinese Embassy in Malawi;;Malawi;English;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;ChinaEmbassy_MW;https://twitter.com/ChinaEmbassy_MW;3752.0;;;;;;;;;;;;;;;;Sun Apr 19 08:23:24 PDT 2009;cut the lawn or edit London stock photos...hmmmm....lawn i guess ;cut lawn edit london stock photos ... hmmmm .... lawn guess;0;;london;;Yes;08;Sunday;0
Chinese Embassy in Albania;;Albania;Albanian;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;ChinaembassyT;https://twitter.com/ChinaembassyT;3555.0;ChinaembassyT;https://www.facebook.com/ChinaembassyT;11.0;;;;;;;;;;;;;Sat Apr 18 16:15:27 PDT 2009;@NathanFillion too bad im in Canada  we don't hbave and B+Ns.;@ nathanfillion bad im canada n't hbave b+ns .;0;;canada;;Yes;16;Saturday;6
Chinese Embassy in Eritrea;;Eritrea;English;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;ChinaEmbEritrea;https://twitter.com/ChinaEmbEritrea;5816.0;;;;;;;;;;;;;;;;Sat May 02 12:17:57 PDT 2009;@Jonasbrothers yah but not in canada till later ;@ jonasbrothers yah canada till later;0;;canada;;Yes;12;Saturday;6
Chinese Embassy in Germany;中国驻德国大使馆;Germany;German;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;ChinaEmbGermany;https://twitter.com/ChinaEmbGermany;7946.0;;;;chinesische.botschaft;https://www.instagram.com/chinesische.botschaft/;527.0;;;;;;;;;;Sat May 02 03:28:56 PDT 2009;"a little bit tired. &amp; having absurd london expo nightmares. like changed table positions &amp; i forget my stock &amp; then get felt up by a perv ";"little bit tired . & amp ; absurd london expo nightmares . like changed table positions & amp ; forget stock & amp ; get felt perv";1;;london;;No;03;Saturday;6
Zhao Xing;赵星;Afghanistan;English;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;ChinaEmbKabul;https://twitter.com/ChinaEmbKabul;27400.0;;;;;;;;;;;;;;;;Fri May 01 23:04:23 PDT 2009;im bummed that i'm not going to chicago on monday anymore. ;im bummed 'm going chicago monday anymore .;0;;chicago;;Yes;23;Friday;5
Zhao Xing;赵星;Afghanistan;English;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;ChinaEmbKabul;https://twitter.com/ChinaEmbKabul;27400.0;;;;;;;;;;;;;;;;Sun May 03 01:43:28 PDT 2009;So cold this morning in London ;cold morning london;0;;london;;Yes;01;Sunday;0
Chinese Embassy in Kazakhstan;;Kazakhstan;Russian;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;ChinaEmbKazakh;https://twitter.com/ChinaEmbKazakh;3126.0;;;;chinaembkazakh;https://www.instagram.com/chinaembkazakh/;2527.0;;;;;;;;;;Sat May 02 03:31:30 PDT 2009;scared about the Swine Flu :S and that I have to go to London ;scared swine flu : go london;0;;london;;Yes;03;Saturday;6
Chinese Embassy in Portugal;中国驻葡萄牙大使馆;Portugal;Portuguese;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;ChinaEmbPt;https://twitter.com/ChinaEmbPt;2896.0;;;;;;;;;;;;;;;;Sun May 03 22:12:20 PDT 2009;So tired. Had such a great birthday. I'm going to miss Chicago and all my friends here ;tired . great birthday . 'm going miss chicago friends;1;;chicago;;No;22;Sunday;0
Chinese Embassy in Denmark;;Denmark;English;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;ChinaInDenmark;https://twitter.com/ChinaInDenmark;2128.0;;;;;;;;;;;;;;;;Sun Apr 19 05:16:36 PDT 2009;"@jeffpulver sayin' &quot;hi&quot;. Still upset I missed your Dec. 2008 b'fast in TelAviv  Question - any &quot;live&quot; feeds from media140 in London?";"@ jeffpulver sayin ' & quot ; hi & quot ; . still upset missed dec. 2008 b'fast telaviv question - & quot ; live & quot ; feeds media140 london ?";0;& quot;london;;Yes;05;Sunday;0
Chinese Consulate General in Vancouver;;Canada;English;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;ChinainVan;https://twitter.com/ChinainVan;2168.0;;;;;;;;;;;;;;;;Mon Apr 20 01:55:02 PDT 2009;@lkutner ooh good idea. i'm wrecked too. wish i was still in london  i loved it.;@ lkutner ooh good idea . 'm wrecked . wish still london loved .;1;;london;;No;01;Monday;1
Chinese Embassy in Iraq;;Iraq;Arabic;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;ChinaIraq;https://twitter.com/ChinaIraq;13200.0;;;;;;;;;;;;;;;;Sat Apr 18 20:41:02 PDT 2009;im lonely  keep me company! 22 female, Chicago - Illinois;im lonely keep company ! 22 female , chicago - illinois;0;;chicago;;Yes;20;Saturday;6
Chinese Embassy in Switzerland (UN Missions);;Switzerland;English;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;ChinaMissionGva;https://twitter.com/ChinaMissionGva;5316.0;;;;;;;;;;;;;;;;Fri May 01 20:29:01 PDT 2009;i don't like that chicago stole you. @cleasing have fun but come home. ;n't like chicago stole . @ cleasing fun come home .;1;;chicago;;No;20;Friday;5
China Plus Podcasts;;Anglosphere;English;China Media Group (CMG);中央广播电视总台;Central Publicity Department;中共中央宣传部;ChinaPlusPods;https://twitter.com/ChinaPlusPods;7272.0;;;;;;;;;;;;;;;;Sun May 03 18:35:07 PDT 2009;Doing merch from Blind Witness at heartfest in gatineau....they asked me to do merch on their next canada/us tour, ofcourse i cant ugh ;merch blind witness heartfest gatineau .... asked merch next canada/us tour , ofcourse cant ugh;1;;canada;;No;18;Sunday;0
State Council Information Office (SCIO);国务院新闻办公室;Anglosphere;English;State Council Information Office (SCIO);国务院新闻办公室;State Council;中华人民共和国国务院;chinascio;https://twitter.com/chinascio;55200.0;;;;;;;china_scio;https://www.threads.net/@china_scio;77.0;ChinaSCIO;https://www.youtube.com/@ChinaSCIO;1740.0;;;;Sat May 02 23:31:49 PDT 2009;@TheKillaKaliKid They burned off chicago's lack of defense ;@ thekillakalikid burned chicago 's lack defense;1;;chicago;;No;23;Saturday;6
Wang Xiaojian;;India;English;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;ChinaSpox_India;https://twitter.com/ChinaSpox_India;12900.0;;;;;;;;;;;;;;;;Sun May 03 20:45:58 PDT 2009;kind of hate that i'm back here.  i wish i lived in chicago ;kind hate 'm back . wish lived chicago;1;;chicago;;No;20;Sunday;0
Chinese Embassy in Mali;中国驻马里大使馆;Mali;French;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;Chine_au_Mali;https://twitter.com/Chine_au_Mali;4741.0;AmbChineMali;https://www.facebook.com/AmbChineMali;3900.0;;;;;;;;;;;;;Tue Apr 07 05:14:47 PDT 2009;New SATC movie coming out 2010! But Oz gets the premier last  All cast back and it's set in fabulous London...yay! http://tiny.cc/7zCnY;new satc movie coming 2010 ! oz gets premier last cast back 's set fabulous london ... yay ! http : //tiny.cc/7zcny;1;;london;;No;05;Tuesday;2
Chinese Embassy in Guinea;中华人民共和国驻几内亚共和国大使馆;Guinea;French;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;chine_guinee;https://twitter.com/chine_guinee;5545.0;;;;;;;;;;;;;;;;Sun May 03 22:36:34 PDT 2009;@WholeFoods Any chance of you sharing your corn chowder recipe?  It's excellent and not sold in Canada. ;@ wholefoods chance sharing corn chowder recipe ? 's excellent sold canada .;1;;canada;;No;22;Sunday;0
Chinese Embassy in Morocco;;Morocco;French;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;ChineAmbMaroc;https://twitter.com/ChineAmbMaroc;3360.0;ChineAmbMaroc;https://www.facebook.com/ChineAmbMaroc;1100.0;;;;;;;;;;;;;Sat Apr 18 14:23:45 PDT 2009;im doing 4 weeks worth of homework and going to london till tuesday ;im 4 weeks worth homework going london till tuesday;1;;london;;No;14;Saturday;6
Liu Jin;刘晋;Gambia;English;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;ChineseAmb_GM;https://twitter.com/ChineseAmb_GM;1617.0;;;;;;;;;;;;;;;;Sat Apr 18 13:49:52 PDT 2009;@ddlovato Hi,How long are you in London? I have uni lectures during your show on Wednesday ;@ ddlovato hi , long london ? uni lectures show wednesday;0;;london;;Yes;13;Saturday;6
Chinese Embassy in Fiji;;Fiji;English;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;ChineseEmb_FJ;https://twitter.com/ChineseEmb_FJ;3216.0;;;;;;;;;;;;;;;;Sun May 03 02:32:14 PDT 2009;@tommcfly i only got a programme in london.  i was getting squashed in the que for the t shirts. ;@ tommcfly got programme london . getting squashed que shirts .;0;;london;;Yes;02;Sunday;0
Chinese Embassy in Thailand;;Thailand;Thai;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;chineseembassy1;https://twitter.com/chineseembassy1;977.0;;;;;;;;;;;;;chineseembassyinthailand;https://www.tiktok.com/@chineseembassyinthailand;;Sun Apr 19 06:43:54 PDT 2009;thinking... london in 4 days  .... must do some college work ;thinking ... london 4 days .... must college work;0;;london;;Yes;06;Sunday;0
Chinese Embassy in Jordan;中国驻约旦使馆;Jordan;Arabic;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;ChineseembassyJ;https://twitter.com/ChineseembassyJ;5365.0;Chinaemb.Jordan;https://www.facebook.com/Chinaemb.Jordan;4900.0;;;;;;;;;;;;;Sat Apr 18 21:06:42 PDT 2009;@officialjman yes!!!!!! i can't wait to see, i could have been an extra but i couldn't make it to Toronto ;@ officialjman yes ! ! ! ! ! ! ca n't wait see , could extra could n't make toronto;1;;toronto;;No;21;Saturday;6
Chinese Embassy in Jordan;中国驻约旦使馆;Jordan;Arabic;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;ChineseembassyJ;https://twitter.com/ChineseembassyJ;5365.0;Chinaemb.Jordan;https://www.facebook.com/Chinaemb.Jordan;4900.0;;;;;;;;;;;;;Mon Apr 20 23:39:58 PDT 2009;@MsTeagan Hey beautiful when will you be back to the Chicago area I missed it when you came feature dancing here ;@ msteagan hey beautiful back chicago area missed came feature dancing;1;;chicago;;No;23;Monday;1
Chinese Embassy in Montenegro;;Montenegro;Serbian;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;ChineseEmbinMNE;https://twitter.com/ChineseEmbinMNE;1514.0;;;;;;;;;;;;;;;;Tue Apr 21 03:41:18 PDT 2009;i wish i was in a park... in london..the sun is shining and im stuck inside ;wish park ... london .. sun shining im stuck inside;1;;london;;No;03;Tuesday;2
Chinese Embassy in United Kingdom (UK);中国驻英国大使馆;UK;English;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;ChineseEmbinUK;https://twitter.com/ChineseEmbinUK;43700.0;;;;;;;;;;chineseembassyinuk4659;https://www.youtube.com/@chineseembassyinuk4659;297.0;chineseembassyinuk;https://www.tiktok.com/@chineseembassyinuk;139.0;Mon Apr 20 05:43:15 PDT 2009;anyone knows of a good streaming radio? I forgot my iPod in London ;anyone knows good streaming radio ? forgot ipod london;1;;london;;No;05;Monday;1
Chinese Embassy in United Kingdom (UK);中国驻英国大使馆;UK;English;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;ChineseEmbinUK;https://twitter.com/ChineseEmbinUK;43700.0;;;;;;;;;;chineseembassyinuk4659;https://www.youtube.com/@chineseembassyinuk4659;297.0;chineseembassyinuk;https://www.tiktok.com/@chineseembassyinuk;139.0;Sat May 02 07:37:18 PDT 2009;@mariaruizx i so should!! haha.i'm sad im not in london next week with you and naomi  i seeee you in august though yayyyy ;@ mariaruizx ! ! haha.i 'm sad im london next week naomi seeee august though yayyyy;0;;london;;Yes;07;Saturday;6
Chinese Embassy in United States;;USA;English;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;ChineseEmbinUS;https://twitter.com/ChineseEmbinUS;118100.0;ChineseEmbassyinUS;https://www.facebook.com/ChineseEmbassyinUS;55000.0;;;;;;;;;;chineseembassyinus;https://www.tiktok.com/@chineseembassyinus;29200.0;Sun May 03 07:39:30 PDT 2009;Feeling sad about my last day in Toronto. ;feeling sad last day toronto .;1;;toronto;;No;07;Sunday;0
Chinese Embassy in Yemen;中国驻也门大使馆;Yemen;Arabic;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;ChineseEmbtoYEM;https://twitter.com/ChineseEmbtoYEM;62700.0;chineseembtoyemen;https://www.facebook.com/chineseembtoyemen;6800.0;;;;;;;;;;;;;Sat Apr 18 17:01:58 PDT 2009;Saturday night. Watching Bruins vs Canadiens...not the same on Versus vs CBC's Hockey Night in Canada. ;saturday night . watching bruins vs canadiens ... versus vs cbc 's hockey night canada .;0;;canada;;Yes;17;Saturday;6
Chinese Embassy in Zimbabwe;;Zimbabwe;English;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;ChineseZimbabwe;https://twitter.com/ChineseZimbabwe;17200.0;;;;;;;;;;;;;;;;Sat May 02 07:16:36 PDT 2009;27 days til Jonas Brothers 3D and Nickelback! @ddlovato demi gosh you HAVE to do a tour in the UK. like seriously! London is too far away ;27 days til jonas brothers 3d nickelback ! @ ddlovato demi gosh tour uk . like seriously ! london far away;1;;london;;No;07;Saturday;6
Chinese Consulate General in Osaka;中華人民共和国駐大阪総領事館;Japan;Japanese;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;ChnConsul_osaka;https://twitter.com/ChnConsul_osaka;21400.0;;;;;;;;;;user-kr2ke5sy6b;https://www.youtube.com/@user-kr2ke5sy6b;1700.0;;;;Sat Apr 18 20:47:04 PDT 2009;im lonely  keep me company! 22 female, Chicago - Illinois;im lonely keep company ! 22 female , chicago - illinois;0;;chicago;;Yes;20;Saturday;6
Chinese Consulate General in Osaka;中華人民共和国駐大阪総領事館;Japan;Japanese;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;ChnConsul_osaka;https://twitter.com/ChnConsul_osaka;21400.0;;;;;;;;;;user-kr2ke5sy6b;https://www.youtube.com/@user-kr2ke5sy6b;1700.0;;;;Sat May 02 02:11:35 PDT 2009;I'm determined to find my camera charger today  i neeeed it! had a good night in London with Chris !;'m determined find camera charger today neeeed ! good night london chris !;1;chris;london;;No;02;Saturday;6
Chinese Consulate General in Osaka;中華人民共和国駐大阪総領事館;Japan;Japanese;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;ChnConsul_osaka;https://twitter.com/ChnConsul_osaka;21400.0;;;;;;;;;;user-kr2ke5sy6b;https://www.youtube.com/@user-kr2ke5sy6b;1700.0;;;;Sun May 03 17:19:22 PDT 2009;@DavidArchie they're not showing it here in Canada  but I will watch it later!;@ davidarchie 're showing canada watch later !;0;;canada;;Yes;17;Sunday;0
Chinese Consulate General in Johannesburg;;South Africa;English;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;ChnConsulateJhb;https://twitter.com/ChnConsulateJhb;1324.0;;;;;;;;;;;;;chnconsulategeneraljhb;https://www.tiktok.com/@chnconsulategeneraljhb;56.0;Tue Apr 21 03:45:24 PDT 2009;@_brenna, she's playing in London tomorrow  I wanted tickest unfortunately couldn't get any. ;@ _brenna , 's playing london tomorrow wanted tickest unfortunately could n't get .;1;;london;;No;03;Tuesday;2
Liu Yuyin;;UN;English;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;ChnMission;https://twitter.com/ChnMission;1755.0;;;;;;;;;;;;;;;;Sat May 02 01:09:09 PDT 2009;Big  today. Core router transit issue Telehouse, London which means that DailyDOOH is off the air atm. How will folks get their Sat fix?;big today . core router transit issue telehouse , london means dailydooh air atm . folks get sat fix ?;0;;london;;Yes;01;Saturday;6
China International Development Cooperation Agency (CIDCA);;Anglosphere;English;China International Development Cooperation Agency (CIDCA);国家国际发展合作署;State Council;中华人民共和国国务院;cidcaofficial;https://twitter.com/cidcaofficial;37900.0;;;;;;;;;;;;;;;;Sun Apr 19 07:28:12 PDT 2009;Breakfast with the fam...last morning in Chicago ;breakfast fam ... last morning chicago;0;;chicago;;Yes;07;Sunday;0
CRI Italian (Radio Cina Internazionale);;Italy;Italian;China Media Group (CMG);中央广播电视总台;Central Publicity Department;中共中央宣传部;cinitalia;https://twitter.com/cinitalia;2228.0;CriItaliano;https://www.facebook.com/CriItaliano/;939000.0;;;;;;;CINITALIA;https://www.youtube.com/channel/UC-89ZO9I7TAj9HkZHMllgpg;3920.0;;;;Sat Apr 18 23:35:37 PDT 2009;has a btl at the Pops champagne bar in chicago. they had a sep theise driven grower list, i coudn't afford it  but fun anyway;btl pops champagne bar chicago . sep theise driven grower list , coud n't afford fun anyway;1;;chicago;;No;23;Saturday;6
CGTN Closer to China;;Anglosphere;English;China Media Group (CMG);中央广播电视总台;Central Publicity Department;中共中央宣传部;closertochina;https://twitter.com/closertochina;8795.0;cgtnclosertochina;https://www.facebook.com/cgtnclosertochina;167000.0;;;;;;;;;;;;;Sun Apr 19 07:34:30 PDT 2009;It's raining...why is there always something with the weather in Chicago? it can never be consistently NICE!! ;'s raining ... always something weather chicago ? never consistently nice ! !;0;;chicago;;Yes;07;Sunday;0
China News Service (CNS) Agency;中國新聞社;China;Chinese;China News Service (CNS);北京中新网信息科技有限公司;United Front Work Department;中共中央统一战线工作部;CNS1952;https://twitter.com/CNS1952;494700.0;ChinaNewsService;https://www.facebook.com/ChinaNewsService;1200000.0;;;;;;;cnsvideo;https://www.youtube.com/@cnsvideo;193000.0;chinanewsservice;https://www.tiktok.com/@chinanewsservice;32300.0;Tue Apr 07 03:49:31 PDT 2009;do Dairy Milk white chocolate buttons actually exist? All the ones in London have been eaten ;dairy milk white chocolate buttons actually exist ? ones london eaten;0;;london;;Yes;03;Tuesday;2
Chinese Consulate General in Strasbourg;;France;French;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;consulat_de;https://twitter.com/consulat_de;2457.0;;;;;;;;;;;;;;;;Tue Apr 07 03:39:35 PDT 2009;i'm seeing my cousin from Canada for the last time today before she goes back     sad times,need cheering up;'m seeing cousin canada last time today goes back sad times , need cheering;1;;canada;;No;03;Tuesday;2
Chinese Consulate General in San Francisco;;USA;English;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;ConsulateSan;https://twitter.com/ConsulateSan;4221.0;;;;chineseconsulate;https://www.instagram.com/chineseconsulate/;462.0;;;;user-cq4mw4or9e;https://www.youtube.com/@user-cq4mw4or9e;16.0;;;;Sun May 03 08:45:50 PDT 2009;@Kimbalicious so where do you live Doncaster or London? I will be spending almost EVERY other weekend in south next season!  a few c lon;@ kimbalicious live doncaster london ? spending almost every weekend south next season ! c lon;0;;london;;Yes;08;Sunday;0
CMG Hindi;;India;Hindi;China Media Group (CMG);中央广播电视总台;Central Publicity Department;中共中央宣传部;cri_hindi;https://twitter.com/cri_hindi;52.0;cmghindiservice;https://www.facebook.com/cmghindiservice;11000000.0;;;;;;;;;;;;;Fri Apr 17 21:51:04 PDT 2009;u guys really need to have another concert in toronto for the day before or the day after like honestly who wants to sit far back ;u guys really need another concert toronto day day like honestly wants sit far back;1;;toronto;;No;21;Friday;5
CRI Türkçe;;Türkiye;Turkish;China Media Group (CMG);中央广播电视总台;Central Publicity Department;中共中央宣传部;CRI_Turkish;https://twitter.com/CRI_Turkish;85200.0;criturkfm;https://www.facebook.com/criturkfm;116000.0;criturkish;https://www.instagram.com/criturkish/;56500.0;criturkish;https://www.threads.net/@criturkish;493.0;criturk;https://www.youtube.com/criturk;44400.0;;;;Sun May 03 21:00:56 PDT 2009;"@mikefoxxx I havent watched Season 2 at all, it isnt on yet in Canada. I'm so scared.  I wanna buy Season 1! Sam + Trent or Devon? ;P";"@ mikefoxxx havent watched season 2 , isnt yet canada . 'm scared . wan na buy season 1 ! sam + trent devon ? ; p";0;wan na buy season,sam;canada;;Yes;21;Sunday;0
CRI Arabic;;MENA;Arabic;China Media Group (CMG);中央广播电视总台;Central Publicity Department;中共中央宣传部;criarabic;https://twitter.com/criarabic;22200.0;criarabic1;https://www.facebook.com/criarabic1;2700000.0;;;;;;;;;;;;;Tue Apr 07 04:21:40 PDT 2009;@Darnell hmm, still a nogo. Up here in Canada we're pretty restricted to what tv we can watch online because of copyright laws. ;@ darnell hmm , still nogo . canada 're pretty restricted tv watch online copyright laws .;1;nogo;canada;;No;04;Tuesday;2
CRI Français;;la Francophonie;French;China Media Group (CMG);中央广播电视总台;Central Publicity Department;中共中央宣传部;CriFrancais;https://twitter.com/CriFrancais;72900.0;profile.php?id=100064674103235&spm=C88696.PW9lL1E2rNNB.0.0&ref=ts&fref=ts;https://www.facebook.com/profile.php?id=100064674103235&spm=C88696.PW9lL1E2rNNB.0.0&ref=ts&fref=ts;2500000.0;cri_francais;https://www.instagram.com/cri_francais/;11000.0;;;;;;;;;;Sun May 03 05:06:49 PDT 2009;@Pink I miss London  Cant wait for you to be in Aussie land woo!!;@ pink miss london cant wait aussie land woo ! !;1;;london;;No;05;Sunday;0
CRI Greek;;Greece;Greek;China Media Group (CMG);中央广播电视总台;Central Publicity Department;中共中央宣传部;crigreek;https://twitter.com/crigreek;224.0;profile.php?id=100068848134907;https://www.facebook.com/profile.php?id=100068848134907;155000.0;;;;;;;;;;;;;Sat Apr 18 20:41:36 PDT 2009;@samnzed I can't believe they took it w/o a tow sign.  Not cool.  At least it's back.  Chicago = $170 to park ;@ samnzed ca n't believe took w/o tow sign . cool . least 's back . chicago = $ 170 park;1;;chicago;;No;20;Saturday;6
CRI Sinhala;;Sri Lanka;Sinhalese;China Media Group (CMG);中央广播电视总台;Central Publicity Department;中共中央宣传部;CRIsinhala;https://twitter.com/CRIsinhala;126.0;crisrilanka;https://www.facebook.com/crisrilanka;1500000.0;;;;;;;;;;;;;Sat Apr 18 15:09:40 PDT 2009;Had a lovely 'last supper' with home friends in London, won't see them for a while  Bristol tomorrow though .;lovely 'last supper ' home friends london , wo n't see bristol tomorrow though .;1;;london;;No;15;Saturday;6
CRI Sinhala;;Sri Lanka;Sinhalese;China Media Group (CMG);中央广播电视总台;Central Publicity Department;中共中央宣传部;CRIsinhala;https://twitter.com/CRIsinhala;126.0;crisrilanka;https://www.facebook.com/crisrilanka;1500000.0;;;;;;;;;;;;;Sun May 03 10:06:14 PDT 2009;So sad to leave Chicago and return to real life. ;sad leave chicago return real life .;0;;chicago;;Yes;10;Sunday;0
China State Construction (CSCEC);中国建筑集团有限公司;Anglosphere;English;China State Construction Engineering (CSCEC);中国建筑集团有限公司;State Council;中华人民共和国国务院;CSCECNEWS;https://twitter.com/CSCECNEWS;128900.0;CSCECNews;https://www.facebook.com/CSCECNews/;1100000.0;china_state_construction;https://www.instagram.com/china_state_construction/;34400.0;;;;CSCECNews;https://www.youtube.com/@CSCECNews;5650.0;;;;Sun May 03 20:41:58 PDT 2009;i miss london already ;miss london already;0;;london;;Yes;20;Sunday;0
DIOC;国际组织和会议部;China;Chinese;Department of International Organizations and Conferences (DIOC);外交部国际组织和会议部;Ministry of Foreign Affairs;中华人民共和国外交部;DIOC_MFA_China;https://twitter.com/DIOC_MFA_China;707.0;;;;;;;;;;;;;;;;Sat Apr 18 15:04:05 PDT 2009;CHICAGO!!!!!!!!!! too bad I missed the game  lmao!!;chicago ! ! ! ! ! ! ! ! ! ! bad missed game lmao ! !;1;;chicago;;No;15;Saturday;6
Discover Xinjiang;;Xinjiang;English;Beijing Jiandanshiji Culture Media Co., Ltd;北京简单世纪文化传媒有限公司;unknown;;DXinjiang;https://twitter.com/DXinjiang;52600.0;DiscoverXinjiang;https://www.facebook.com/DiscoverXinjiang;1500000.0;;;;discoverxinjiang;https://www.threads.net/@discoverxinjiang;73.0;;;;discoverxinjiang;https://www.tiktok.com/@discoverxinjiang;12.0;Tue Apr 07 01:32:03 PDT 2009;Only 18 more days left in london, where did the time go ;18 days left london , time go;0;;london;;Yes;01;Tuesday;2
China News Service Net (eCNS);中国新闻网;China;Chinese;China News Service (CNS);北京中新网信息科技有限公司;United Front Work Department;中共中央统一战线工作部;Echinanews;https://twitter.com/Echinanews;645100.0;echinanews;https://www.facebook.com/echinanews/;1400000.0;;;;;;;cnsvideo;https://www.youtube.com/@cnsvideo;192000.0;;;;Sun Apr 19 01:40:03 PDT 2009;Recording The Rules this morning in London. First overseas recording. First recording without @RhyllaM ;recording rules morning london . first overseas recording . first recording without @ rhyllam;0;;london;;Yes;01;Sunday;0
Chinese Embassy in Malawi (Economic Counsellor);;Malawi;English;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;EconomicMalawi;https://twitter.com/EconomicMalawi;96.0;;;;;;;;;;;;;;;;Sun Apr 19 12:36:10 PDT 2009;@dannywood So jealous!! I am in Chicago at it is 55 and rainy   Hope u enjoy ur time off! Can't wait for summer and I get to meet u guys!;@ dannywood jealous ! ! chicago 55 rainy hope u enjoy ur time ! ca n't wait summer get meet u guys !;1;;chicago;;No;12;Sunday;0
Chinese Embassy in Malawi (Economic Counsellor);;Malawi;English;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;EconomicMalawi;https://twitter.com/EconomicMalawi;96.0;;;;;;;;;;;;;;;;Sat May 02 06:27:43 PDT 2009;@RebelSean We had double the amount of rain we normally get in April. Another wet year here in Toronto ;@ rebelsean double amount rain normally get april . another wet year toronto;0;;toronto;;Yes;06;Saturday;6
